blnc_id,macu_codigo,blnc_monto,blnc_ano
1,100001,2200006.00,2023
2,100001,2210579.00,2021
3,100001,2520751.00,2022
4,100001,2720365.00,2024
5,100003,14431880.00,2021
6,100003,24060314.00,2023
7,100003,37776758.00,2024
8,100003,9979946.00,2022
9,100005,0.00,2021
10,100005,0.00,2022
11,100005,0.00,2023
12,100005,26590.00,2024
13,100007,0.00,2021
14,100007,0.00,2022
15,100007,0.00,2023
16,100007,0.00,2024
17,100009,0.00,2022
18,100009,0.00,2023
19,100009,600112.00,2024
20,100009,815866.00,2021
21,100011,0.00,2021
22,100011,0.00,2022
23,100011,0.00,2023
24,100011,0.00,2024
25,100012,0.00,2023
26,100012,366079.00,2024
27,100012,402142.00,2021
28,100012,75018.00,2022
29,100013,17710.00,2023
30,100013,18426.00,2024
31,100013,8000.00,2021
32,100013,8000.00,2022
33,100014,60136.00,2021
34,100014,60136.00,2022
35,100014,60136.00,2023
36,100014,60136.00,2024
37,100015,13338811.00,2024
38,100015,6323205.00,2021
39,100015,7838603.00,2022
40,100015,8157909.00,2023
41,100016,1332681.00,2024
42,100016,513356.00,2023
43,100016,531517.00,2022
44,100016,549682.00,2021
45,100017,0.00,2021
46,100017,0.00,2022
47,100017,0.00,2023
48,100017,0.00,2024
49,100018,0.00,2021
50,100018,0.00,2022
51,100018,0.00,2023
52,100018,0.00,2024
53,100019,0.00,2021
54,100019,0.00,2022
55,100019,0.00,2023
56,100019,0.00,2024
57,200001,1198077.00,2022
58,200001,1414371.00,2023
59,200001,1921358.00,2021
60,200001,6086700.00,2024
61,200002,11916411.00,2024
62,200002,2512428.00,2022
63,200002,5489920.00,2021
64,200002,8590809.00,2023
65,200003,0.00,2022
66,200003,0.00,2023
67,200003,0.00,2024
68,200003,138962.00,2021
69,200004,0.00,2021
70,200004,0.00,2022
71,200004,0.00,2024
72,200004,753011.00,2023
73,200005,165794.00,2022
74,200005,295210.00,2021
75,200005,386309.00,2023
76,200005,734459.00,2024
77,200006,0.00,2022
78,200006,0.00,2023
79,200006,0.00,2024
80,200006,296490.00,2021
81,200007,1253989.00,2022
82,200007,2593843.00,2024
83,200007,675960.00,2021
84,200007,954409.00,2023
85,200008,0.00,2021
86,200008,138962.00,2022
87,200008,138962.00,2023
88,200008,138962.00,2024
89,200009,1300480.00,2023
90,200009,1300480.00,2024
91,200009,665935.00,2021
92,200009,890490.00,2022
93,300001,20000.00,2021
94,300001,20000.00,2022
95,300001,20000.00,2023
96,300001,20000.00,2024
97,300002,0.00,2021
98,300002,0.00,2022
99,300002,0.00,2023
100,300002,0.00,2024
101,300003,14396744.00,2022
102,300003,14846988.00,2021
103,300003,20814868.00,2023
104,300003,32481125.00,2024
105,300004,437487.00,2022
106,300004,450667.00,2021
107,300004,636212.00,2023
108,300004,967978.00,2024
109,300005,0.00,2021
110,300005,0.00,2022
111,300005,0.00,2023
112,300005,0.00,2024
113,400001,-112000.00,2021
114,400001,153009.00,2024
